,iskola,neme,eletpalya,lakossag,d10,d11,egyutt
0,3,1,0.975609756097561,0.0014442263130792995,1,1,3
1,3,2,0.6097560975609757,0.008544095740767985,1,1,1
2,5,2,0.3414634146341463,0.008544095740767985,1,1,2
3,3,2,0.975609756097561,0.0756049314035604,1,1,2
4,4,2,0.3902439024390244,0.0022913371708106517,1,1,2
5,4,1,0.2682926829268293,0.032273544394585844,1,1,3
6,3,1,0.975609756097561,0.032273544394585844,1,1,1
7,3,1,0.5609756097560976,0.017219798256583787,1,1,3
8,5,2,0.975609756097561,0.017219798256583787,1,1,1
9,3,2,0.46341463414634143,1.0,1,1,3
10,6,2,0.2682926829268293,1.0,1,1,3
11,2,2,0.5365853658536586,1.0,1,1,3
12,8,2,0.24390243902439024,1.0,1,1,1
13,2,1,0.7804878048780488,1.0,1,1,2
14,8,1,0.2195121951219512,1.0,1,1,2
15,2,2,0.07317073170731703,1.0,1,1,3
16,4,2,0.5365853658536586,1.0,1,1,2
17,5,1,0.3414634146341463,1.0,1,1,2
18,4,2,0.6097560975609757,1.0,1,1,3
19,8,2,0.6829268292682926,1.0,1,1,4
20,3,1,0.878048780487805,0.0584546720979844,1,1,1
21,3,1,0.6341463414634148,0.0584546720979844,1,1,2
22,4,1,0.6097560975609757,0.0584546720979844,1,1,3
23,8,2,0.7317073170731707,0.0021131795277328233,1,1,3
24,2,1,0.6097560975609757,0.0004913702736501399,1,0,2
25,3,1,1.0,0.00024252427541562454,1,1,2
26,5,2,0.9268292682926829,0.0005206800794468148,1,1,1
27,3,2,0.9512195121951219,0.0005206800794468148,1,1,3
28,3,1,0.7317073170731707,0.005074619317345888,1,1,2
29,8,1,0.7560975609756098,0.005074619317345888,1,1,3
30,5,2,0.7560975609756098,0.0019666304987494485,1,1,1
31,2,1,0.6829268292682926,0.0011143473223480947,1,1,1
32,2,2,0.024390243902439046,0.0005333235250845962,1,0,3
33,4,2,0.41463414634146345,0.06761312435633367,1,0,5
34,8,2,0.31707317073170727,0.06761312435633367,1,1,2
35,5,1,0.1707317073170732,0.06761312435633367,1,1,5
36,4,2,0.7804878048780488,0.09772406484478446,1,1,2
37,7,2,0.8048780487804879,0.09772406484478446,1,1,1
38,4,1,0.04878048780487809,0.09772406484478446,1,1,1
39,3,1,0.1707317073170732,0.0013677909371781667,1,1,2
40,4,2,0.975609756097561,0.0015246846035015446,1,1,1
41,4,2,0.4878048780487805,0.0015246846035015446,1,0,2
42,3,1,0.9268292682926829,0.027586274275415625,1,1,2
43,3,2,0.878048780487805,0.027586274275415625,1,1,2
44,5,2,0.24390243902439024,0.0007965370751802266,1,1,2
45,5,2,0.41463414634146345,0.0007965370751802266,1,1,2
46,4,1,0.29268292682926833,0.014003190745917316,1,1,2
47,3,2,0.5365853658536586,0.0018654829336471972,1,1,4
48,3,1,0.4390243902439024,0.011333124908047668,1,1,4
49,4,1,0.41463414634146345,0.021705922649698395,1,1,2
50,4,2,0.04878048780487809,0.01085439808003531,1,1,2
51,3,1,0.36585365853658536,0.09586835184640281,1,1,5
52,4,2,0.853658536585366,0.09586835184640281,1,1,1
53,3,2,0.7804878048780488,0.0005568863101368251,1,0,1
54,5,2,0.3414634146341463,0.006876885022804178,1,1,2
55,5,2,0.3902439024390244,0.006876885022804178,1,1,2
56,3,2,0.8292682926829269,0.006876885022804178,1,1,1
57,3,1,0.4878048780487805,0.01879907955715757,1,1,2
58,3,2,0.3414634146341463,0.0023666231425628955,1,1,2
59,3,2,0.46341463414634143,0.0020792721053405913,1,1,3
60,2,2,0.878048780487805,0.0030746560982786524,1,1,1
61,6,1,0.4390243902439024,0.0052631215977637195,1,1,2
62,9,1,0.19512195121951215,0.0052631215977637195,1,1,1
63,3,1,0.46341463414634143,0.0014585938649404149,1,0,2
64,8,2,0.6585365853658536,0.04022569699867588,1,1,2
65,4,1,0.09756097560975607,0.04022569699867588,1,1,4
66,8,1,0.4878048780487805,0.0005517139914668236,1,1,5
67,3,1,0.2682926829268293,0.011198069920553185,1,1,3
68,2,1,0.7073170731707317,0.0011321630866558774,1,0,3
69,3,1,0.6829268292682926,0.03678955329557157,1,1,1
70,3,2,0.8048780487804879,0.0038367110489922027,1,1,2
71,3,2,0.7804878048780488,0.0012223913123436808,1,1,2
72,3,1,0.6341463414634148,0.00847972910843019,1,1,2
73,2,1,0.9512195121951219,0.0017166350963660438,1,1,1
74,6,1,0.9024390243902438,0.0025465048918640576,1,1,3
75,3,1,0.9024390243902438,0.0049872646020303075,1,1,3
76,6,2,0.7804878048780488,0.0014488239296748565,1,1,4
77,3,1,0.31707317073170727,0.0005425187582757099,1,1,1
78,5,2,0.6585365853658536,0.004270036413123437,1,1,4
79,3,1,0.12195121951219512,0.004270036413123437,1,1,3
80,3,1,0.5609756097560976,0.0013815837869648373,1,1,5
81,4,1,0.853658536585366,0.00014080200823892892,1,0,2
82,6,1,0.5121951219512195,0.021448456120347213,1,1,3
83,3,1,0.5365853658536586,0.00046206046785346477,1,1,3
84,6,2,0.29268292682926833,0.0028637404369574815,1,1,2
85,6,2,0.24390243902439024,0.0028637404369574815,1,1,3
86,2,1,0.5365853658536586,0.010686585074297483,1,1,1
87,9,2,0.6341463414634148,0.018415178571428572,1,1,3
88,3,2,0.14634146341463417,0.006385514749154038,1,1,4
89,3,1,0.7804878048780488,0.0010246937987347358,1,0,2
90,7,1,0.1707317073170732,0.001998239112843902,1,1,3
91,6,1,0.878048780487805,0.026731117588642047,1,1,2
92,4,2,0.0,0.011352664778578785,1,1,3
93,3,1,0.5609756097560976,0.0025585736354273945,1,1,3
94,9,2,0.2195121951219512,0.03553957628365455,1,1,4
95,3,1,0.5609756097560976,0.0006269999632190673,1,0,2
96,3,1,0.7317073170731707,0.0036459099602765927,1,1,3
97,4,2,0.7073170731707317,0.03663323433132264,1,1,2
98,5,1,0.6097560975609757,0.0018332996174782992,1,1,2
